birthPlace	[provenance, birthplace, cradle, place of birth, provenience, place of origin]
award	[honour, award, awarding, honor, laurels, present, grant, accolade, prize]
foundationPlace	No_Pattern
deathPlace	No_Pattern
author	[author, generator, writer, source]
starring	[star, prima, stellar, leading, asterisk, starring]
office	[role, billet, agency, part, business office, office, government agency, federal agency, post, office staff, authority, function, berth, spot, bureau, power, position, place, situation]
team	[squad, team, team up]
spouse	[better half, partner, married person, mate, spouse]
subsidiary	[subordinate, auxiliary, underling, foot soldier, supplemental, supplementary, subsidiary company, subsidiary]
